label1,label2,constellation,magnitude,season,size,RA,DEC,type,notes
OCL 251,NGC 7686,ANDROMEDA,5.6,autumn,15,23 30.1,+49 08,Open Cluster - 20,6.2, H ,Cl;P;lC;st 7...11 ,H VIII 69;12* mags 8...13 
UGC 12683,NGC 7707,ANDROMEDA,13.4,autumn,1.3,23 34.9,+44 18,Galaxy - ,,,eF;S;R;*9-10 p;vnr ,H III 579 
 ,Av-Hunter 1 ,ANDROMEDA,99.9,autumn,47,23 37.8,+48 34,Open Cluster - 16,8.6,,,Includes variable star BM And 
K1-20 ,PK 110-12.1 ,ANDROMEDA,16.5,autumn,37s,23 39.1,+48 13,Planetary Nebula - ,20,,,13''-could not find; even with UHC filter 
 ,MCG +08-01-016 ,ANDROMEDA,12,autumn,1.0,23 59.2,+46 53,Galaxy - ,,,Inner Regions Completely Black--MCG,Face On 
 ,MCG +08-01-018 ,ANDROMEDA,12,autumn,0.4,23 59.9,+47 16,Galaxy - ,,,Inner Regions Very Black--MCG ,Mostly Face On 
ESO 434- 6 ,NGC 2904,ANTLIA,12.4,spring,1.5,09 30.3,-30 23,Galaxy - ,,,F;S;lE;psbM, 
 ,ESO 373-G008,ANTLIA,12,spring,5.8,09 33.3,-33 02,Galaxy - ,,,, 
He2- 10 ,PK 248+ 8.1 ,ANTLIA,99.9,spring,0.2,09 36.2,-26 24,Galaxy - ,,,,Not a PLNNB;dwarf GALXY w emission lines 
 ,NGC 2973,ANTLIA,99.9,spring,,09 41.6,-30 03,3 Star - ,,,eF;pS;*8 f, 
ESO 434-35 ,NGC 2997,ANTLIA,9.4,spring,9.2,09 45.6,-31 11,Galaxy - ,,,! vF;vL;vgvsbMN 4'';19s.5 d ,H V 50 
ESO 434-38 ,NGC 3001,ANTLIA,11.9,spring,2.9,09 46.3,-30 26,Galaxy - ,,,F;S;R;*12 att nf, 
IC 2512 ,IC 2511,ANTLIA,12.1,spring,2.9,09 49.4,-32 50,Galaxy - ,,,pB;pS;eE;*7 np; np of 2 , 
ESO 374- 2 ,NGC 3038,ANTLIA,11.6,spring,2.5,09 51.3,-32 45,Galaxy - ,,,pB;pS;R , 
 ,NGC 3046,ANTLIA,99.9,spring,,09 53.3,-27 20,1 Star - ,,,pF;R;sp of 2 , 
