label1,label2,constellation,magnitude,season,size,RA,DEC,type,notes,,,
NGC2997,ESO434-35,ANTLIA,9.4,spring,9.2,146.4,-30.81666667,Galaxy,! vF;vL;vgvsbMN 4'';1.15.5 d ,,,
NGC3001,ESO434-38,ANTLIA,11.9,spring,2.9,146.575,-29.56666667,Galaxy,F;S;R;*12 att nf,,,
NGC3038,ESO374-2,ANTLIA,11.6,spring,2.5,147.825,-31.25,Galaxy,pB;pS;R ,,,
NGC3046,,ANTLIA,99.9,spring,,148.325,-26.66666667,1 Star,pF;R;sp of 2 ,,,
NGC3051,ESO499-16,ANTLIA,11.8,spring,2.1,148.5,-26.71666667,Galaxy,pF;S;R;gbM;nf of 2 ,,,
NGC3056,ESO435-7,ANTLIA,11.7,spring,2.1,148.625,-27.7,Galaxy,pB;S;R;vgmbM;*11 att S ,,,
NGC3082,ESO435-18,ANTLIA,12.5,spring,1.8,149.725,-29.65,Galaxy,vF;S;R;D* att ,,,
NGC3084,IC2528,ANTLIA,12.3,spring,1.7,149.775,-26.86666667,Galaxy,vF;S;R;*13 att sf ,,,
NGC3087,ESO374-15,ANTLIA,11.6,spring,2.5,149.775,-33.76666667,Galaxy,pB;S;R;pmbM;bet 2 st,,,
NGC3089,ESO435-24,ANTLIA,12.4,spring,1.8,149.9,-27.66666667,Galaxy,pF;pS;R;vS st inv ,,,
NGC3095,ESO435-26,ANTLIA,11.7,spring,3.6,150.025,-30.45,Galaxy,F;L;E;vgvlbM ,,,
NGC3100,NGC3103,ANTLIA,11.1,spring,3.2,150.175,-30.33333333,Galaxy,pB;pS;R;gpmbM ,,,
NGC3103,NGC3100,ANTLIA,12.1,spring,3.2,150.175,-30.33333333,Galaxy,eF;pL;R ,,,
NGC3108,ESO435-32,ANTLIA,11.8,spring,2.5,150.625,-30.31666667,Galaxy,F;S;R;glbM,,,
NGC3113,ESO435-35,ANTLIA,12.7,spring,3.3,151.1,-27.55,Galaxy,eF;L;Tri 2* 8m ,,,
NGC3120,ESO374-29,ANTLIA,12.8,spring,1.8,151.35,-33.78333333,Galaxy,F;pS;R;gbM,,,
NGC3125,ESO435-41,ANTLIA,13,spring,1.1,151.65,-28.06666667,Galaxy,cF;S;R;vgbM,,,
NGC3137,ESO435-47,ANTLIA,11.5,spring,6.2,152.275,-28.93333333,Galaxy,vF;S;lE ,,,
NGC3157,IC2555,ANTLIA,13.2,spring,2.5,152.925,-30.35,Galaxy,vF;pS;E;*8-9 sp,,,
NGC3173,ESO500-16,ANTLIA,12.8,spring,2.1,153.65,-26.3,Galaxy,eF;S;R;2 B st f,,,
NGC3175,ESO436-3,ANTLIA,11.2,spring,5.1,153.675,-27.13333333,Galaxy,cB;L;mE 51;vglbM,,,
NGC3223,IC2571,ANTLIA,11,spring,4.1,155.4,-33.73333333,Galaxy,pB;vL;vlE;pslbMN,,,
NGC3224,ESO375-13,ANTLIA,12,spring,1.9,155.425,-33.3,Galaxy,vF;pS;R;vgmbM ,,,
NGC3241,ESO436-16,ANTLIA,12.2,spring,2.4,156.075,-31.51666667,Galaxy,F;pmE;glbM;*11 np ,,,
NGC3244,ESO317-24,ANTLIA,12.3,spring,2.1,156.375,-38.16666667,Galaxy,vF;*11 n 90'' ,,,
NGC3249,ESO375-24,ANTLIA,13.1,spring,1.6,156.6,-33.03333333,Galaxy,eF;pL;R;vgvlbM ,,,
NGC3250,ESO317-26,ANTLIA,11.1,spring,2.7,156.625,-38.05,Galaxy,pB;pL;R;vgpsbM;*13;45,,,
NGC3250C,ESO317-28,ANTLIA,13.3,spring,1.7,156.925,-40,Galaxy,,,,
NGC3250A,ESO317-30,ANTLIA,14.8,spring,1.1,156.975,-39.91666667,Galaxy,,,,
NGC3250D,ESO317-31,ANTLIA,13.3,spring,1.7,157,-38.18333333,Galaxy,,,,
NGC3258A,ESO375-32,ANTLIA,13.2,spring,1.1,157.075,-34.55,Galaxy,,,,
NGC3257,ESO375-36,ANTLIA,13.1,spring,1,157.2,-34.33333333,Galaxy,vF;vS;R;psbM;0.0666667t of 4,,,
NGC3258,ESO375-37,ANTLIA,11.5,spring,3.3,157.225,-34.4,Galaxy,cF;S;R;pslbM;2nd of 4,,,
NGC3250E,ESO317-34,ANTLIA,12.5,spring,2.1,157.25,-39.91666667,Galaxy,,,,
NGC3260,ESO375-40,ANTLIA,12.6,spring,1.2,157.275,-34.4,Galaxy,vvF;vS;R;pslbM;3rd of 4 ,,,
NGC3267,ESO375-42,ANTLIA,12.5,spring,1.7,157.45,-34.68333333,Galaxy,eF;vS;R;0.0666667t of 4,,,
NGC3268,ESO375-45,ANTLIA,11.4,spring,4,157.5,-34.66666667,Galaxy,F;S;R;2nd of 4 ,,,
NGC3269,ESO375-44,ANTLIA,12.2,spring,2.4,157.5,-34.78333333,Galaxy,F;S;R;bM;3rd of 4 ,,,
NGC3275A,ESO375-46,ANTLIA,15.1,spring,1,157.525,-35.3,Galaxy,,,,
NGC3258B,,ANTLIA,15.2,spring,1,157.6,-34.43333333,Galaxy,,,,
NGC3271,IC2585,ANTLIA,11.8,spring,2.8,157.6,-34.63333333,Galaxy,pF;S;E;pmbM;4th of 4,,,
NGC3273,ESO375-49,ANTLIA,12.5,spring,1.6,157.625,-34.38333333,Galaxy,vF;vS;R;pslbM;4th of 4 ,,,
