label1,label2,constellation,magnitude,season,size,RA,DEC,type,notes,
NGC909,UGC 1872,ANDROMEDA,13.3,autumn,0.9,2.423333333,42.03333333,Galaxy,vF;vS;vS* inv ,
NGC910,UGC 1875,ANDROMEDA,12.2,autumn,2,2.423333333,41.81666667,Galaxy,vF;pS;stellar ,
NGC911,UGC 1878,ANDROMEDA,12.7,autumn,1.7,2.428333333,41.95,Galaxy,eF;vS;R;bM,
NGC912,MCG 7- 6- 15,ANDROMEDA,15,autumn,0.9,2.428333333,41.78333333,Galaxy,F;vS;R;bM ,
NGC913, ,ANDROMEDA,15.8,autumn,0.5,2.428333333,41.8,Galaxy,eF;vS;lbM ,
NGC914,UGC 1887,ANDROMEDA,13,autumn,1.8,2.435,42.15,Galaxy,eF;pL;dif ,
NGC923,UGC 1915,ANDROMEDA,13.7,autumn,0.8,2.46,41.98333333,Galaxy,vF;S;R;gsBM,
NGC920,UGC 1920,ANDROMEDA,13.9,autumn,1.5,2.465,45.95,Galaxy,eF;eS;R;1or2 eF* nr ,
NGC933,UGC 1956,ANDROMEDA,13.8,autumn,1.3,2.488333333,45.91666667,Galaxy,eF;eS;R;B* nf ,
NGC937,UGC 1961,ANDROMEDA,14.2,autumn,1.1,2.491666667,42.25,Galaxy,vF* slightly neb,
NGC946,UGC 1979,ANDROMEDA,13.2,autumn,1.5,2.51,42.23333333,Galaxy,F;S;R;glbM,
NGC956,OCL 377,ANDROMEDA,8.9,autumn,8,2.541666667,44.6,Open Cluster - 30,Cl;pRi;*9...15 ,
UGC2034,PGC 9759,ANDROMEDA,13.1,autumn,3.1,2.561666667,40.53333333,Galaxy,13''-eF;pS;E 1.5X1; PA 0; nBM; *10m E tip,
NGC980,UGC 2063,ANDROMEDA,13,autumn,1.7,2.588333333,40.93333333,Galaxy,vF;pS;sp of 2 ,
NGC982,UGC 2066,ANDROMEDA,12.5,autumn,1.5,2.59,40.86666667,Galaxy,F;S;nf of 2,
IC239,UGC 2080,ANDROMEDA,11.1,autumn,4.6,2.608333333,38.96666667,Galaxy,vF spiral;F stellar nucleus ,
NGC995,UGC 2118,ANDROMEDA,13.4,autumn,1.7,2.641666667,41.53333333,Galaxy,vF;vS,
NGC996,UGC 2123,ANDROMEDA,13,autumn,1.4,2.645,41.65,Galaxy,vF;vS,
NGC999,IC 240 ,ANDROMEDA,13.5,autumn,0.9,2.646666667,41.66666667,Galaxy,eF ,
NGC1000,MCG 7- 6- 48,ANDROMEDA,15.5,autumn,0.8,2.646666667,41.46666667,Galaxy,1637;pS;dif,
NGC7440,UGC 12276,ANDROMEDA,13.5,autumn,1.4,22.975,35.8,Galaxy,eF;S;iR ,
NGC7445,MCG 6-50- 15,ANDROMEDA,15.6,autumn,0.7,22.99,39.1,Galaxy,eF;vS,
NGC7446,ZwG 515. 17 ,ANDROMEDA,15.7,autumn,0.8,22.99166667,39.08333333,Galaxy,eF;vS;R;r ,
NGC7449,UGC 12292,ANDROMEDA,14,autumn,1,22.99333333,39.15,Galaxy,vF;S;R;vS* in centre,
NGC7618,UGC 12516,ANDROMEDA,13,autumn,1.2,23.33,42.85,Galaxy,F;S;R;gbM ,
NGC7640,UGC 12554,ANDROMEDA,11.3,autumn,10,23.36833333,40.85,Galaxy,cF;L;mE164;vlbM;r ,
PK107-13.1,Vy 2-3 ,ANDROMEDA,13.9,autumn,4.6s,23.38333333,46.9,Planetary Nebula - ,,
UGC12588,MCG +07-48-005,ANDROMEDA,13.2,autumn,1.9,23.41166667,41.33333333,Galaxy,,
NGC7662,PK 106-17.1 ,ANDROMEDA,8.6,autumn,17s,23.43166667,42.53333333,Planetary Nebula - ,!!! Planetary or annular neb;vB;pS;R;blue,BCH 
UGC12632,PGC 71596,ANDROMEDA,12.1,autumn,4.9,23.5,41,Galaxy,,
NGC7686,OCL 251,ANDROMEDA,5.6,autumn,15,23.50166667,49.13333333,Open Cluster - 20,Cl;P;lC;st 7...11 , H 
NGC7707,UGC 12683,ANDROMEDA,13.4,autumn,1.3,23.58166667,44.3,Galaxy,eF;S;R;*9-10 p;vnr ,
Av-Hunter1, ,ANDROMEDA,99.9,autumn,47,23.63,48.56666667,Open Cluster - 16,,
PK110-12.1,K1-20 ,ANDROMEDA,16.5,autumn,37s,23.65166667,48.21666667,Planetary Nebula - ,,
MCG+08-01-016, ,ANDROMEDA,12,autumn,1,23.98666667,46.88333333,Galaxy,Inner Regions Completely Black--MCG,
MCG+08-01-018, ,ANDROMEDA,12,autumn,0.4,23.99833333,47.26666667,Galaxy,Inner Regions Very Black--MCG ,
NGC2904,ESO 434- 6 ,ANTLIA,12.4,spring,1.5,9.505,-29.61666667,Galaxy,F;S;lE;psbM,
ESO373-G008, ,ANTLIA,12,spring,5.8,9.555,-32.96666667,Galaxy,,
PK248+8.1,He2- 10 ,ANTLIA,99.9,spring,0.2,9.603333333,-25.6,Galaxy,,
NGC2973, ,ANTLIA,99.9,spring,,9.693333333,-29.95,3 Star - ,eF;pS;*8 f,
NGC2997,ESO 434-35 ,ANTLIA,9.4,spring,9.2,9.76,-30.81666667,Galaxy,! vF;vL;vgvsbMN 4'';19s.5 d ,
NGC3001,ESO 434-38 ,ANTLIA,11.9,spring,2.9,9.771666667,-29.56666667,Galaxy,F;S;R;*12 att nf,
IC2511,IC 2512 ,ANTLIA,12.1,spring,2.9,9.823333333,-31.16666667,Galaxy,pB;pS;eE;*7 np; np of 2 ,
NGC3038,ESO 374- 2 ,ANTLIA,11.6,spring,2.5,9.855,-31.25,Galaxy,pB;pS;R ,
NGC3046, ,ANTLIA,99.9,spring,,9.888333333,-26.66666667,1 Star - ,pF;R;sp of 2 ,
NGC3051,ESO 499-16 ,ANTLIA,11.8,spring,2.1,9.9,-26.71666667,Galaxy,pF;S;R;gbM;nf of 2 ,
NGC3056,ESO 435- 7 ,ANTLIA,11.7,spring,2.1,9.908333333,-27.7,Galaxy,pB;S;R;vgmbM;*11 att S ,
IC2522,ESO 374-10 ,ANTLIA,11.9,spring,2.8,9.918333333,-32.86666667,Galaxy,vF;cL;R ,
