UM,NGC,CONSTELLATION,MAG,VIEW,Ang. Size (Amin), Rt. Asc., Declin., TYPE, OBJECT REMARKS
UGC 1012 ,NGC 531 ,ANDROMEDA,13.8,autumn,1.8,01 26.3,+34 45,"Galaxy -  , , ,F;S;R , "
UGC 1013 ,NGC 536 ,ANDROMEDA,12.4,autumn,3,01 26.4,+34 42,"Galaxy -  , , ,pB;pL;gbM;f of 2 ,H III 171;UGC 1013 "
MCG 6- 4- 22 ,NGC 542 ,ANDROMEDA,14.7,autumn,1,01 26.5,+34 41,"Galaxy -  , , ,eF;diffic , "
UGC 1034 ,NGC 551 ,ANDROMEDA,12.7,autumn,1.8,01 27.7,+37 11,"Galaxy -  , , ,vF;S;E;vglbM;*13 nr ,H III 560 "
UGC 1048 ,NGC 561 ,ANDROMEDA,12.9,autumn,1.6,01 28.3,+34 18,"Galaxy -  , , ,eF;pL;R , "
UGC 1049 ,NGC 562 ,ANDROMEDA,13.3,autumn,1.3,01 28.5,+48 23,"Galaxy -  , , ,eF;pS;R;D* nr S , "
UGC 1078 ,NGC 573 ,ANDROMEDA,13.1,autumn,0.4,01 30.8,+41 15,"Galaxy -  , , ,vF;vS;R;gbM ,Peculiar "
UGC 1111 ,NGC 591 ,ANDROMEDA,12.9,autumn,1.3,01 33.5,+35 40,"Galaxy -  , , ,eF;pS;R;lbM;B* sf , "
UGC 1109 ,NGC 590 ,ANDROMEDA,12.9,autumn,2.6,01 33.7,+44 56,"Galaxy -  , , ,F;vS;(rr) ,sff of 2 "
UGC 1128 ,NGC 605 ,ANDROMEDA,12.9,autumn,2.2,01 35.0,+41 15,"Galaxy -  , , ,vF;vS;R;bM , "
UGC 1150 ,NGC 620 ,ANDROMEDA,14,autumn,1,01 37.0,+42 19,"Galaxy -  , , ,eF;vS;R;lbM ,peculiar "
M1- 1 ,PK 130-11.1 ,ANDROMEDA,14.3,autumn,6s,01 37.3,+50 28,"Planetary Nebulala -  ,16.2, , , "
