,NGC 0508,PISCIS AUSTRINUS,13.1,autumn,1.8,01 23 40.6,+33 16 51,"Galaxy - vF,S,N of 2,III 160 "
,NGC 0514,PISCIS AUSTRINUS,11.6,autumn,4.5,01 24 03.9,+12 55 03,"Galaxy - F,L,lE,vglbM,**F,II 252 "
,NGC 0513,ANDROMEDA,12.9,autumn,0.8,01 24 26.8,+33 47 59,"Galaxy - F,S,stellar,III 169 "
,NGC 0521,CARINA,11.7,winter,4.3,01 24 33.8,+01 43 53,"Galaxy - F,pL,R,gbM,II 461 "
,NGC 0520,PISCIS AUSTRINUS,11.4,autumn,4.8,01 24 34.4,+03 47 42,"Galaxy - F,cL,E137,III 253 "
,NGC 0515,PISCIS AUSTRINUS,13,autumn,1.8,01 24 38.6,+33 28 23,"Galaxy - pF,vS,R,np of 2,III 167 "
,NGC 0517,PISCIS AUSTRINUS,12.4,autumn,2.2,01 24 43.8,+33 25 47,"Galaxy - pF,R,stellar,sf of 2,III 168 "
,NGC 0524,PISCIS AUSTRINUS,10.3,autumn,4.0,01 24 47.8,+09 32 19,"Galaxy - vB,pL,mbM,4S* nr,I 151 "
,NGC 0532,PISCIS AUSTRINUS,12.9,autumn,2.6,01 25 17.3,+09 15 51,"Galaxy - vF,pL,E30,bM,III 556 "
,NGC 0523,ANDROMEDA,12.7,autumn,2.6,01 25 20.8,+34 01 30,"Galaxy - Dneb,vF,vS,III 170? "
,NGC 0537,ANDROMEDA,,autumn,,01 25 20.8,+34 01 30,"Disk unseen object - stellar (?=N523),III 170 "
,NGC 0533,CARINA,11.4,winter,4.4,01 25 31.4,+01 45 33,"Galaxy - pB,pL,R,gbM,II 462 "
,NGC 0545,CARINA,12.2,winter,2.9,01 25 59.1,-01 20 25,"Galaxy - stellar,p of Dneb,II 448 "
,NGC 0547,CARINA,12.2,winter,1.8,01 26 00.7,-01 20 43,"Galaxy - stellar,f of Dneb,II 449 "
,NGC 0552,PISCIS AUSTRINUS,,autumn,,01 26 10.1,+33 24 21,"Single star - vS,stellar,p of 2,III 172 "
,NGC 0553,PISCIS AUSTRINUS,14,autumn,0.9,01 26 12.6,+33 24 19,"Galaxy - vS,stellar,f of 2,III 173 "
,NGC 0536,ANDROMEDA,12.4,autumn,3.2,01 26 21.7,+34 42 13,"Galaxy - pB,pL,gbM,f of 2,III 171 "
,NGC 0550,CARINA,12.7,winter,1.6,01 26 42.5,+02 01 20,"Galaxy - F,S,E90,bM,r,II 463 "
,NGC 0560,CARINA,13,winter,2.0,01 27 25.4,-01 54 47,"Galaxy - vF,vS,lE,p of 2,III 441 "
,NGC 0551,ANDROMEDA,12.7,autumn,2.0,01 27 40.6,+37 10 59,"Galaxy - vF,S,E,vglbM,*13 nr,III 560 "
,NGC 0564,CARINA,12.5,winter,1.8,01 27 48.2,-01 52 46,"Galaxy - vF,vS,iF,f of 2,III 442 "
,NGC 0559,CANIS MAJOR,9.5,winter,5.7,01 29 34,+63 18.2,"Open Cluster - Cl,B,pL,pRi,VII 48 "
